index,time2,
338,1459826779,1459826779
338,1459826821,1459826821
338,1459829215,1459829215
338,1459829257,1459829257
338,1459829539,1459829539
338,1459830247,1459830247
338,1459830391,1459830391
338,1459830961,1459830961
338,1459831063,1459831063
338,1459837291,1459837291
338,1459837489,1459837489
338,1459837657,1459837657
338,1459837825,1459837825
338,1459838012,1459838012
338,1459838176,1459838176
338,1459838329,1459838329
338,1459838523,1459838523
338,1459838665,1459838665
338,1459838833,1459838833
338,1459839967,1459839967
338,1459840135,1459840135
338,1459841689,1459841689
338,1459845866,1459845866
338,1459846030,1459846030
338,1459846194,1459846194
338,1459846358,1459846358
338,1459846399,1459846399
338,1459895533,1459895533
338,1459895659,1459895659
338,1459895995,1459895995
338,1459896037,1459896037
338,1459896512,1459896512
338,1459896684,1459896684
338,1459896835,1459896835
338,1459897022,1459897022
338,1459897129,1459897129
339,1459815115,1459815115
339,1459815283,1459815283
339,1459815438,1459815438
339,1459815643,1459815643
339,1459815663,1459815663
339,1459815970,1459815970
339,1459816100,1459816100
339,1459817302,1459817302
339,1459817322,1459817322
339,1459820266,1459820266
339,1459820449,1459820449
339,1459820534,1459820534
339,1459820752,1459820752
339,1459820896,1459820896
339,1459820952,1459820952
339,1459821374,1459821374
339,1459821526,1459821526
339,1459821610,1459821610
339,1459821910,1459821910
339,1459822021,1459822021
339,1459822887,1459822887
339,1459823062,1459823062
339,1459823193,1459823193
339,1459826770,1459826770
339,1459829251,1459829251
339,1459829447,1459829447
339,1459829623,1459829623
339,1459829787,1459829787
339,1459829939,1459829939
339,1459830082,1459830082
339,1459830255,1459830255
339,1459830426,1459830426
339,1459830610,1459830610
339,1459830786,1459830786
339,1459830963,1459830963
339,1459831139,1459831139
339,1459831289,1459831289
339,1459831464,1459831464
339,1459831642,1459831642
339,1459831816,1459831816
339,1459831974,1459831974
339,1459832150,1459832150
339,1459832332,1459832332
339,1459832458,1459832458
339,1459832652,1459832652
339,1459832804,1459832804
339,1459855376,1459855376
339,1459857532,1459857532
339,1459857677,1459857677
339,1459857845,1459857845
339,1459857887,1459857887
339,1459858500,1459858500
339,1459863257,1459863257
339,1459864964,1459864964
339,1459865136,1459865136
339,1459866132,1459866132
339,1459866336,1459866336
339,1459867864,1459867864
339,1459867990,1459867990
339,1459868174,1459868174
339,1459868272,1459868272
339,1459868476,1459868476
339,1459868832,1459868832
339,1459869170,1459869170
339,1459869589,1459869589
339,1459869949,1459869949
339,1459870169,1459870169
339,1459870721,1459870721
339,1459871466,1459871466
339,1459873160,1459873160
339,1459873325,1459873325
339,1459874117,1459874117
339,1459874260,1459874260
339,1459874337,1459874337
339,1459874949,1459874949
339,1459875085,1459875085
339,1459875173,1459875173
339,1459875441,1459875441
339,1459879702,1459879702
340,1459819920,1459819920
340,1459829398,1459829398
340,1459829814,1459829814
340,1459837135,1459837135
340,1459837299,1459837299
340,1459837463,1459837463
340,1459841017,1459841017
340,1459841149,1459841149
340,1459841325,1459841325
340,1459841545,1459841545
340,1459863803,1459863803
340,1459863975,1459863975
340,1459864104,1459864104
340,1459875093,1459875093
340,1459875253,1459875253
340,1459875465,1459875465
340,1459875549,1459875549
340,1459876103,1459876103
340,1459876279,1459876279
340,1459877628,1459877628
340,1459877795,1459877795
340,1459877958,1459877958
340,1459878206,1459878206
340,1459878374,1459878374
340,1459878458,1459878458
340,1459882522,1459882522
340,1459885049,1459885049
340,1459885221,1459885221
340,1459885350,1459885350
341,1459885207,1459885207
341,1459885248,1459885248
341,1459887708,1459887708
341,1459887790,1459887790
342,1459811622,1459811622
